State,City,Season,Average,Std dev,,
NSW,Sydney,Summer,9,24.3,3.17,1.038678932
NSW,Sydney,Summer,10,25.36,3.73,1.083896708
NSW,Sydney,Summer,11,25.96,4.08,1.109640443
NSW,Sydney,Summer,12,26.38,4.14,1.127879546
NSW,Sydney,Summer,13,26.46,3.84,1.131299378
NSW,Sydney,Summer,14,26.52,3.88,1.133721759
NSW,Sydney,Summer,15,26.28,3.77,1.123367268
NSW,Sydney,Summer,16,25.64,3.45,1.096246101
NSW,Sydney,Summer,17,24.78,3.22,1.059150425
NSW,Sydney,Summer,18,23.99,2.89,1.025474581
NSW,Sydney,Summer,19,23.28,2.61,0.995266066
NSW,Sydney,Summer,20,22.79,2.17,0.974272098
NSW,Sydney,Summer,21,22.66,2.14,0.968477383
NSW,Sydney,Summer,22,22.37,2.05,0.956412976
NSW,Sydney,Summer,23,21.96,2.07,0.938696347
NSW,Sydney,Winter,0,12.22,2.07,0.887768501
NSW,Sydney,Winter,1,11.63,2.17,0.845038718
NSW,Sydney,Winter,2,11.05,2.22,0.802940799
NSW,Sydney,Winter,3,10.55,2.26,0.766687619
NSW,Sydney,Winter,4,10.26,2.35,0.745836117
NSW,Sydney,Winter,5,10.07,2.37,0.732014098
NSW,Sydney,Winter,6,10.16,2.46,0.737937821
NSW,Sydney,Winter,7,10.47,2.55,0.76084288
NSW,Sydney,Winter,8,11.67,2.36,0.847803122
NSW,Sydney,Winter,9,13.41,2.21,0.974728743
NSW,Sydney,Winter,10,14.87,2.24,1.080328964
NSW,Sydney,Winter,11,16.12,2.45,1.17139632
NSW,Sydney,Winter,12,16.92,2.66,1.229369815
NSW,Sydney,Winter,13,17.5,2.95,1.271783666
NSW,Sydney,Winter,14,17.78,3.03,1.291845338
NSW,Sydney,Winter,15,17.74,2.91,1.288922969
NSW,Sydney,Winter,16,17.1,2.88,1.242559969
NSW,Sydney,Winter,17,16.12,2.53,1.171238354
